,indexing,posSentScore,negSentScore,snowScore,title
26,000001_2012-11-01_63,0,0,0.98911,国产奶粉哪个好？圣元全面提升奶粉质量
27,000001_2012-11-02_1,0,0,0.3434,◣★◢〓◤章鱼视点：1，经济企稳回升确定。2，
28,000001_2012-11-02_4,0,0,0.49277,000670不断删请帮手转发 谢谢!
29,000001_2012-11-02_6,0,0,0.02897,谁还买大盘股傻呀! 坚决远离银行 调仓换小盘股
30,000001_2012-11-02_13,0,0,0.4451,继续上涨黑色星期一概率很大！
31,000001_2012-11-02_14,0,0,0.37143,主力拉升！快 买 ！888888888
32,000001_2012-11-02_16,0,0,0.22802,重组600392后更名为盛和稀土!要生吞四川5000万
33,000001_2012-11-02_17,0,0,0.11485,最高指示按市值分配新股
34,000001_2012-11-02_18,0,0,0.01315,出掉臭石油，买入0422，绩优股，被错杀
35,000001_2012-11-02_26,0,0,0.34639,昨天涨3分今天掉1毛5，这是啥股市呀？
36,000001_2012-11-02_27,0,0,0.2124,《硕鼠云集，融劵做空》
37,000001_2012-11-02_30,0,0,0.91012,股指期货狂跌做空；股市好不了了。
38,000001_2012-11-02_33,0,0,0.81042,看来证监会找基金谈话只需买入不许卖出是真的，
39,000001_2012-11-02_36,0,0,0.75364,神魔垃圾是
40,000001_2012-11-02_39,0,0,0.04298,上市公司.有诚信了.分红好.大盘才会走好.个股才
41,000001_2012-11-02_41,0,0,0.02897,谁还买大盘股傻呀! 坚决远离银行 调仓换小盘股
42,000001_2012-11-02_44,0,0,0.02897,谁还买大盘股傻呀! 坚决远离银行 调仓换小盘股
43,000001_2012-11-02_45,0,0,0.01042,大家都来买银行股吧，16家银行的合计净利润已超
44,000001_2012-11-02_46,0,0,0.98337,小盘 成长股 一路持有＞做空大蓝筹、建仓=中小
45,000001_2012-11-02_47,0,0,0.01042,大家都来买银行股吧，16家银行的合计净利润已超
46,000001_2012-11-02_48,0,0,0.08035,600070大有屡创新高之势 低吸！！！
47,000001_2012-11-02_49,0,0,0.08928,看来多头底气不足，小心为妙，阿呆
48,000001_2012-11-02_50,0,0,0.03209,不是增发，就是配股，红利才1毛！！！！！！！
49,000001_2012-11-02_51,0,0,0.17332,南方稀土资源整合的龙头--厦门钨业
50,000001_2012-11-02_52,0,0,0.51221,新股疯狂、翻5倍多骗钱、股市不跌还成！国泰君
51,000001_2012-11-02_61,0,0,0.80622,中国平安260亿可转债获批，离增发平安银行不远
52,000001_2012-11-02_62,0,0,0.9968,重组是永恒的，是中国股市的支柱，没有了它，就
53,000001_2012-11-02_63,0,0,0.79218,浙江世宝 引爆中小板重新估值逆市爆涨
54,000001_2012-11-02_65,0,0,0.67358,平安银-行还有多少上升空间，还能继续吗？
55,000001_2012-11-02_66,0,0,0.20936,跌碟跌
56,000001_2012-11-02_69,0,0,0.06529,平安银行该如何抓涨停？
57,000001_2012-11-02_73,0,0,0.81401,巴菲特买进平安银行
58,000001_2012-11-02_74,0,0,0.81401,巴菲特买进平安银行
59,000001_2012-11-02_75,0,0,0.03144,不好了 特大利空 下周两市解禁市值巨增至888亿 
60,000001_2012-11-02_76,0,0,0.04246,大家齐动手：唱空银行股黑名单
61,000001_2012-11-02_80,0,0,0.80469,调仓换股，小盘成长股 一路持有＞做空银行蓝筹
62,000001_2012-11-05_0,0,0,0.15695,实现3金叉，所以大盘发出买入信号！！
63,000001_2012-11-05_2,0,0,0.78048,迅速拉起，慢慢出货，诱多................
64,000001_2012-11-05_3,0,0,0.54463,【李大霄买光大银行成本2.8，套得牢牢的】
65,000001_2012-11-05_5,0,0,0.02517,年底银行坏账会增加！欧洲有银行要破产了！全球
66,000001_2012-11-05_8,0,0,0.94247,强势洗盘，洗盘结束明天下午开始拉升，迎接十八
67,000001_2012-11-05_9,0,0,0.9855,《融卷做空，会叫你赚的很爽》
68,000001_2012-11-05_13,0,0,0.33226,这大盘看着不行呀，久恒必跌
69,000001_2012-11-05_16,0,0,0.04298,上市公司.有诚信了.分红好.大盘才会走好.个股才
70,000001_2012-11-05_17,0,0,0.03416,出货，上涨已乏力====反抽卖出，!卖!抓紧卖掉清
71,000001_2012-11-05_18,0,0,0.02401,出货，上涨已乏力反抽的时候卖出，!卖!抓紧卖掉
72,000001_2012-11-05_19,0,0,0.70902,＜做空大蓝筹、建仓题材与中小市值＞===只买小
73,000001_2012-11-05_20,0,0,0.35154,下午在煤炭和地产的带领下站上2140
74,000001_2012-11-05_21,0,0,0.99938,洋河股份:业绩增长66％明年或启动深度全国化
75,000001_2012-11-05_22,0,0,0.01411,卖=== 谁还买大盘股傻呀! 坚决远离银行 调仓换
76,000001_2012-11-05_23,0,0,0.80469,调仓换股，小盘成长股 一路持有＞做空银行蓝筹
77,000001_2012-11-05_25,0,0,0.59491,维稳倒计时，小心，阿呆
78,000001_2012-11-05_27,0,0,0.0785,期指前面跑，现货跟不动，小心，阿呆
79,000001_2012-11-05_29,0,0,0.85931,放量了，今天一举突破2132.2145点
80,000001_2012-11-05_30,0,0,0.9273,大盘不进则退，多头要加油，阿呆
81,000001_2012-11-05_34,0,0,0.04183,垃圾股
82,000001_2012-11-05_35,0,0,0.04183,垃圾股
83,000001_2012-11-06_2,0,0,0.23771,凭毛增发推后增发价还不变？
84,000001_2012-11-06_6,0,0,0.32504,的反弹在何时！这时还能再买点吗！
85,000001_2012-11-06_11,0,0,0.4289,唱空银行的伪专家们这就是利率市场化的结果：原
86,000001_2012-11-06_12,0,0,0.4289,唱空银行的伪专家们这就是利率市场化的结果：原
87,000001_2012-11-06_18,0,0,0.12913,！出局转向抄底000951小盘国企龙头，高净资产
88,000001_2012-11-06_19,0,0,0.09626,维稳需要，最后一点尿，没戏
89,000001_2012-11-06_22,0,0,0.77012,快快买进 尾盘涨停    要快！！
90,000001_2012-11-06_26,0,0,0.11778,平安银行 什么时候买入才能赚钱？
91,000001_2012-11-06_29,0,0,0.13225,18大维稳过了必跌破2000点
92,000001_2012-11-06_32,0,0,0.06572,下午开盘30分钟内缩量后估计放量开始反弹
93,000001_2012-11-06_33,0,0,0.67093,响应证监会分红新政 保障股东利益最大化
94,000001_2012-11-06_34,0,0,0.99933,【根据黑白郎君数据分析大盘有百分之四十的下跌
95,000001_2012-11-06_37,0,0,0.72378,想用房地产来拉升指数
96,000001_2012-11-06_44,0,0,0.10253,俩个市场最后一只低价蓝筹股000726未被炒作
97,000001_2012-11-06_49,0,0,0.89798,大盘为什么下跌这么快，没人接盘，所以还有暴跌
98,000001_2012-11-06_51,0,0,0.69111,是谁在敏感时间恶意做空-请有关方面深查深挖
99,000001_2012-11-06_54,0,0,0.7298,暴跌！！！！！！！！！！！！！！！！！
100,000001_2012-11-06_55,0,0,0.36108,8号要到，多头准备放弃抵抗，跑，阿呆
101,000001_2012-11-06_62,0,0,0.28134,下午涨停！！！全仓买入
102,000001_2012-11-06_63,0,0,0.89459,你爷爷涨了你爹我涨了就是个杂种跌
103,000001_2012-11-06_64,0,0,0.14025,平安 银行有大利好  大家快买 我13.56已经全仓
104,000001_2012-11-06_67,0,0,0.02897,谁还买大盘股傻呀! 坚决远离银行 调仓换小盘股
105,000001_2012-11-06_68,0,0,0.96858,远离银行 ＜小盘 成长股 一路持有＞做空大蓝筹
106,000001_2012-11-07_6,0,0,0.97583,股市进入新一轮下跌  2000下方了！
107,000001_2012-11-07_8,0,0,0.66207,600308股价跌到公积金价了
108,000001_2012-11-07_12,0,0,0.13725,机构大量增加做空！干脆一步做空到底大家一起死
109,000001_2012-11-07_13,0,0,0.15116,年底银行坏账会增加！
110,000001_2012-11-07_14,0,0,0.03203,欧洲有银行要破产了！年底银行坏账会增加！
111,000001_2012-11-07_19,0,0,0.78606,听说有大机构注入！平安银行的下一步要怎么走？
112,000001_2012-11-07_20,0,0,0.31229,A股已是平衡市下跌空间不大.
113,000001_2012-11-07_21,0,0,0.28682,[汇金公司增持银行股。我也增吃深发展！！哈哈]
114,000001_2012-11-07_22,0,0,0.0043,今天13.61坚决清仓掉平安银行10100股 明天必跌
115,000001_2012-11-07_25,0,0,0.31635,不要不停的狂叫，只有涨了才是便道理！
116,000001_2012-11-07_27,0,0,0.6251,真的是垃圾股市啊
117,000001_2012-11-07_28,0,0,0.11778,平安银行 什么时候买入才能赚钱？
118,000001_2012-11-07_29,0,0,0.18372,要出重大利好
119,000001_2012-11-07_30,0,0,0.88329,奥巴马胜出，自由民主的胜利
120,000001_2012-11-07_31,0,0,0.9977,APP中国促进行业的良性竞争和健康发展
121,000001_2012-11-07_32,0,0,0.72163,十七大（2007年11月）后，大盘暴跌 72.00％！如
122,000001_2012-11-07_33,0,0,0.15409,＜硕鼠云济融劵做空＞
123,000001_2012-11-07_34,0,0,0.95069,奥巴马连任，绝对利好
124,000001_2012-11-07_41,0,0,0.59136,明日开十八大，下午必定拉升
125,000001_2012-11-07_42,0,0,0.2734,美元跳水，大盘开始拉升了
126,000001_2012-11-07_43,0,0,0.77067,主力压盘吸筹，资金流入大于流出
127,000001_2012-11-07_44,0,0,0.97552,主力资金流入大于流出，少有的情况。后势看张
128,000001_2012-11-07_45,0,0,0.04831,股指期货狂拉翻红盘、会议开始--好消息公布！
129,000001_2012-11-07_46,0,0,0.04831,股指期货狂拉翻红盘、会议开始--大力好消息公布
130,000001_2012-11-07_49,0,0,0.83538,大盘这个顶这么宽，打开未来下跌空间，阿呆
131,000001_2012-11-07_52,0,0,0.16101,赶紧放开股指期货让中小散一起做空
132,000001_2012-11-07_53,0,0,0.88257,今日多空对决，主力流入流出均等，就看谁跟厉害
133,000001_2012-11-07_54,0,0,0.18247,小心明天跳水，先跑再说，回避风险，阿呆
134,000001_2012-11-07_55,0,0,0.93138,快买业绩爆增即将启动股票002120.000979！！！
135,000001_2012-11-07_56,0,0,0.9161,今天涨咯，美股大涨，奥巴马获胜可能信大，持续
136,000001_2012-11-07_57,0,0,0.95111,全球金融危机不结束，银行股就不会涨。
137,000001_2012-11-08_0,0,0,0.64751,觉得便宜就买
138,000001_2012-11-08_1,0,0,0.24805,恭喜a股今天又拿到连续五年荣获熊冠全球大奖！
139,000001_2012-11-08_3,0,0,0.86918,深发展，死了
140,000001_2012-11-08_6,0,0,0.1196,好吓人呀。还有600点的跌幅呢。。。。。。
141,000001_2012-11-08_12,0,0,0.16659,有病吧 还什么2次探底，能去创新低去了不成为机
142,000001_2012-11-08_14,0,0,0.90098,奥子当头股异动，股市多么有趣，涨跌谁知？
143,000001_2012-11-08_18,0,0,0.12921,中国10年大熊市才刚刚开始，当心你的内裤都要输
144,000001_2012-11-08_20,0,0,0.74281,股票市场最起码该是让人2/3的人能赚钱，才算是
145,000001_2012-11-08_21,0,0,0.38562,A股的走势是，看股指期货，股指期货是美股大涨
146,000001_2012-11-08_26,0,0,0.22422,000958 ST东方热电 拉升开始 重组 大幕 开始了
147,000001_2012-11-08_28,0,0,0.05441,大盘明明是跌破2000点趋势很多分析家都说不是
148,000001_2012-11-08_29,0,0,0.75,暴跌开始
149,000001_2012-11-08_31,0,0,0.73418,今天最后走票的机会
150,000001_2012-11-08_32,0,0,0.95197,ddx连续九日飘红，究竟谁在买入？
151,000001_2012-11-08_34,0,0,0.86271,快逃命吧最后的机会
152,000001_2012-11-08_37,0,0,0.97184,现在必有满仓等待爆跌的勇气，最后一跌就在眼前
153,000001_2012-11-08_38,0,0,0.40228,故市今天要跌18点
154,000001_2012-11-08_39,0,0,0.31824,注意下周3可能的变盘时点
155,000001_2012-11-08_42,0,0,0.60703,好！主力在今天砸盘！
156,000001_2012-11-08_47,0,0,0.83916,维稳后当心暴跌
157,000001_2012-11-08_48,0,0,0.29039,还会大跌的
158,000001_2012-11-08_52,0,0,0.96231,反弹行情终结
159,000001_2012-11-08_54,0,0,0.80977,大胆买进宁夏板块
160,000001_2012-11-08_55,0,0,0.90891,十八大召开、怎么股市大跌，怎么这样。解释一下
161,000001_2012-11-08_56,0,0,0.02049,股无好股，跌无止尽，这就是某些少数人说的“维
162,000001_2012-11-08_60,0,0,0.33103,最后逃跑机会，＜做空大蓝筹、建仓中小市值＞买
163,000001_2012-11-08_62,0,0,0.99941,美股暴跌海外资本竞相撤离美股源源不断地进入
164,000001_2012-11-08_63,0,0,0.382,可怜的散户
165,000001_2012-11-08_67,0,0,0.75,暴跌 ？
166,000001_2012-11-08_68,0,0,0.0744,A股的主基调：跌了再跌！
167,000001_2012-11-08_70,0,0,0.89875,浙江富润即将进入主升浪
168,000001_2012-11-08_75,0,0,0.33103,最后逃跑机会，＜做空大蓝筹、建仓中小市值＞买
169,000001_2012-11-09_0,0,0,0.59105,最新消息：怎样解套
170,000001_2012-11-09_6,0,0,0.10343,平安银行  继续跟进赚钱的机会有多少？
171,000001_2012-11-09_12,0,0,0.9977,APP中国促进行业的良性竞争和健康发展
172,000001_2012-11-09_16,0,0,0.47831,【2012-11-09】潜力股推荐:大族激光（002008）
173,000001_2012-11-09_17,0,0,0.47831,【2012-11-09】潜力股推荐:大族激光（002008）
174,000001_2012-11-09_19,0,0,0.47831,【2012-11-09】潜力股推荐:大族激光（002008）
175,000001_2012-11-09_21,0,0,0.5,清仓
176,000001_2012-11-09_22,0,0,0.15455,千万别反弹
177,000001_2012-11-09_29,0,0,0.76427,罕见的直线下跌
178,000001_2012-11-09_35,0,0,0.70859,短线个股买入
179,000001_2012-11-09_38,0,0,0.04811,我已全仓退了，无语。
180,000001_2012-11-09_47,0,0,0.52258,大盘反弹了！买进！11111111
181,000001_2012-11-09_49,0,0,0.98808,新股实际已停止！支持出台扶持鼓励长期投资方案
182,000001_2012-11-09_53,0,0,9e-05,拟定出台持股1-3年以上减免所有买卖费用及补贴
183,000001_2012-11-09_56,0,0,0.00042,猪脑!猪脑! 狂砸跌停!暴砸20元!29元砸到9元!3
184,000001_2012-11-09_64,0,0,0.23721,平安银行提速扩张 分红计划小步推进
185,000001_2012-11-09_69,0,0,0.00533,平安银行兑现半年分红计划 平安集团加大资金支
186,000001_2012-11-09_74,0,0,0.67093,响应证监会分红新政 保障股东利益最大化
187,000001_2012-11-09_75,0,0,0.31524,大户在逃小散在买多不协调
188,000001_2012-11-09_78,0,0,0.88684,只要是中国的股票，不爱钱的都去买，短期内保证
189,000001_2012-11-09_79,0,0,0.02971,我看银行股好.上市公司.有诚信了.分红好.大盘才
190,000001_2012-11-09_80,0,0,0.1559,要跌到2018点
191,000001_2012-11-09_83,0,0,0.00042,猪脑!猪脑! 狂砸跌停!暴砸20元!29元砸到9元!3
192,000001_2012-11-09_87,0,0,0.88959,每当股指上涨的时候，似乎是金融创新、券商创新
193,000001_2012-11-09_91,0,0,0.94269,卖出吧，不要再抱幻想了
194,000001_2012-11-09_94,0,0,0.01885,不知道18大之后能不能刺激到平安银行的上涨！
195,000001_2012-11-09_95,0,0,0.01553,不知道十八大之后能不能刺激到平安银行的上涨！
196,000001_2012-11-09_103,0,0,0.52097,三沙特区爆发了！
197,000001_2012-11-09_104,0,0,0.80872,三沙概念爆发了
198,000001_2012-11-09_109,0,0,0.75275,IPO、再融资、高价发行、解禁股出逃正是股市资
199,000001_2012-11-09_116,0,0,0.91234,概念太虚无、年底掘金“高送转” 3只底部金股靓
200,000001_2012-11-09_117,0,0,0.10222,一桌房老板议5千亿抄底A股已动手
201,000001_2012-11-09_118,0,0,0.15591,证监会再出手促股市回暖!!!明天要上涨！！！
202,000001_2012-11-12_5,0,0,0.92257,股市涨跌和经济好坏没有任何关系：
203,000001_2012-11-12_6,0,0,0.87898,新华社一篇文章找到了股市下跌的结症
204,000001_2012-11-12_7,0,0,0.01843,平安银行调整，一步到位的可能性有多大？
205,000001_2012-11-12_9,0,0,0.94016,这种新型的厂商关系是三一重工梁稳根成功的基石
206,000001_2012-11-12_13,0,0,0.99999,“未来资本市场必将给投资者更稳定、更丰厚的回
207,000001_2012-11-12_14,0,0,0.71971,做空蓝筹大垃圾不成为机构的牺牲品-------36计
208,000001_2012-11-12_16,0,0,0.87382,请问融资型股市它能走多远？
209,000001_2012-11-12_18,0,0,0.12926,明天大盘破2050
210,000001_2012-11-12_19,0,0,0.93238,刻意做空者应该抓起来了吧
211,000001_2012-11-12_21,0,0,0.87197,空头离死不远，好日子过到头了
212,000001_2012-11-12_24,0,0,0.62582,再没人出来打压就真的是涨了上去了，鸡狗都跑光
213,000001_2012-11-12_31,0,0,0.93794,现在唯有让股市继续暴跌，跌到人人唯恐避之不急
214,000001_2012-11-12_34,0,0,0.40126,冰冷中小板指数创新低说明了什么
215,000001_2012-11-12_35,0,0,0.93496,买入便宜股票
216,000001_2012-11-12_42,0,0,0.99825,那个王八蛋利用股指期贷做空A股市场?
217,000001_2012-11-12_44,0,0,0.29334,调仓换股，小盘成长股持有＞做空蓝筹大垃圾不成
218,000001_2012-11-12_45,0,0,0.01411,卖=== 谁还买大盘股傻呀! 坚决远离银行 调仓换
219,000001_2012-11-12_46,0,0,0.03709,底气不足小心为妙，下午阳痿，跑====36计走上策
220,000001_2012-11-12_47,0,0,0.05192,平安银行破产
221,000001_2012-11-12_50,0,0,0.06708,社保在此股应亏损1个亿
222,000001_2012-11-12_52,0,0,0.56613,000100怎么涨停了
223,000001_2012-11-12_53,0,0,0.15886,上午用力过猛，底气不足小心为妙，下午阳痿，赶
224,000001_2012-11-12_54,0,0,0.52277,上涨之路正式开始！
225,000001_2012-11-12_55,0,0,0.04957,不要再死扛了，迟早都要下来的
226,000001_2012-11-12_57,0,0,0.99268,中小股民资金已耗尽.进入后股份制时期
227,000001_2012-11-12_58,0,0,0.72239,股息减税算利好吗
228,000001_2012-11-12_60,0,0,0.01411,卖=== 谁还买大盘股傻呀! 坚决远离银行 调仓换
229,000001_2012-11-12_61,0,0,0.50445,远离银行 调仓换股，小盘成长股持有＞做空蓝筹
230,000001_2012-11-13_1,0,0,0.82194,国务院批准增加2000亿RQFII额度 再次警告做空捣
231,000001_2012-11-13_10,0,0,0.7752,1800点也很可能保不住，后市暴跌绝对无法避免
232,000001_2012-11-13_14,0,0,0.05654,老股民150元炒到500万 30元买认购证赚6000看傻
233,000001_2012-11-13_22,0,0,0.83035,相信明日大盘会报复性反弹.
234,000001_2012-11-13_23,0,0,0.01444,我看好.银行股.上市公司.有诚信了.分红好.大盘
235,000001_2012-11-13_24,0,0,0.99891,10-15万买什么车好，奔腾B50也还不错
236,000001_2012-11-13_25,0,0,0.00595,酒药地产券商死多头终于扛不住了，撤退了，阿呆
237,000001_2012-11-13_26,0,0,0.48229,▌▌▌▌崩盘啦!!暴跌开始啦立即清仓吧▌▌▌
238,000001_2012-11-13_27,0,0,0.48783,反弹结束。
239,000001_2012-11-13_30,0,0,0.57149,＜做空垃圾大蓝筹＞===只买小盘股＞拭目以待!＞
240,000001_2012-11-13_31,0,0,0.46702,不要抱幻想。跌跌不休。周三还要继续恐怖下跌！
241,000001_2012-11-13_32,0,0,0.02162,远离银行 调仓换股，小盘成长股持有＞做空垃圾
242,000001_2012-11-13_34,0,0,0.00423,跌！跌！跌！太好了！狂喜！！！
243,000001_2012-11-13_35,0,0,0.40393,想赚钱的就去买000900
244,000001_2012-11-13_36,0,0,0.71435,牛b
245,000001_2012-11-13_37,0,0,0.64329,反弹结束。大盘重新进入震荡状态。
246,000001_2012-11-13_42,0,0,0.56322,上涨是偶然的下跌是必然的
247,000001_2012-11-13_44,0,0,0.01079,再不跑，就要跌到1800！
248,000001_2012-11-13_45,0,0,0.75,暴跌将至
249,000001_2012-11-13_46,0,0,0.5,跳水了
250,000001_2012-11-13_56,0,0,0.66667,暴跌是否已临近？
251,000001_2012-11-13_58,0,0,0.00916,世道非常差，券商股下跌空间打开，长期下跌趋势
252,000001_2012-11-13_59,0,0,0.05959,明天周三还要继续恐怖下跌！弃与“期指相关的大
253,000001_2012-11-13_66,0,0,0.27705,股指期贷引狼入室做空A股
254,000001_2012-11-13_67,0,0,0.95461,美元很强，股市继续调整
255,000001_2012-11-13_68,0,0,0.55927,下午大盘暴涨
256,000001_2012-11-13_69,0,0,0.90729,维稳结束，暴跌开始。。。。。。
257,000001_2012-11-13_70,0,0,0.57681,跌的好，到1800
258,000001_2012-11-13_71,0,0,0.56881,900点，赶快割肉吧
259,000001_2012-11-13_72,0,0,0.48229,▌▌▌▌崩盘啦!!暴跌开始啦立即清仓吧▌▌▌
260,000001_2012-11-13_73,0,0,0.6512,干净割肉吧
261,000001_2012-11-13_76,0,0,0.56394,不要抱幻想，涨不了。跌跌不休。无止境周三恐怖
262,000001_2012-11-13_77,0,0,0.02897,谁还买大盘股傻呀! 坚决远离银行 调仓换小盘股
263,000001_2012-11-13_79,0,0,0.42746,＜做空垃圾大蓝筹、建仓中小市值＞===只买小盘
264,000001_2012-11-13_80,0,0,0.02897,谁还买大盘股傻呀! 坚决远离银行 调仓换小盘股
265,000001_2012-11-13_82,0,0,0.39309,远离银行 调仓换股，小盘成长股一路持有＞做空
266,000001_2012-11-13_86,0,0,0.75,暴跌开始了？
267,000001_2012-11-13_88,0,0,0.35873,现在谁还相信你，相信你就是等死
268,000001_2012-11-13_89,0,0,0.35873,现在谁还相信你，相信你就是等死
269,000001_2012-11-13_91,0,0,0.47377,所谓的空头们，你们已经黔驴技穷了！
270,000001_2012-11-13_98,0,0,0.32766,会没开好就跌了？
271,000001_2012-11-13_99,0,0,0.97923,维稳将结束、年终结账将至，减持压力大，估值仍
272,000001_2012-11-13_101,0,0,0.43673,今天不知有多少股票要跌停
273,000001_2012-11-14_5,0,0,0.81057,反抽是为更好的下跌  a维稳任务完成了  接速大
274,000001_2012-11-14_9,0,0,0.38899,没有量全靠期指拉升
275,000001_2012-11-14_13,0,0,0.6531,如果一支股票上市下跌80％，应该退市。好像股票
276,000001_2012-11-14_14,0,0,0.31772,一只低价股 000949  等待你的到来
277,000001_2012-11-14_18,0,0,0.30056,平安银行不平安！自有资金买入的股票已大亏！！
278,000001_2012-11-14_22,0,0,0.69944,刺激一下，反弹一下，刺激过后，继续寻底==只买
279,000001_2012-11-14_23,0,0,0.04836,跌到1300点有大级别反弹.......
280,000001_2012-11-14_24,0,0,0.85906,卖出，空仓等待再次暴跌！，回光返照   远离银
281,000001_2012-11-14_25,0,0,0.99419,不要再幻想了趁盘中反抽的时候卖出，小盘 成长 
282,000001_2012-11-14_26,0,0,0.54474,＜做空大蓝筹、建仓中小市值＞买只买小盘股＞＞
283,000001_2012-11-14_27,0,0,0.06692,请问一下高手：
284,000001_2012-11-14_31,0,0,0.48245,买300197
285,000001_2012-11-14_32,0,0,0.47302,【置顶】再跌！我全家去你家住，到你家吃饭！爹
286,000001_2012-11-14_33,0,0,0.41695,a维稳任务完成了，终于出完货了，松了一口气
287,000001_2012-11-14_34,0,0,0.32306,大家想知道大盘为什么会跌吗？
288,000001_2012-11-14_35,0,0,0.02304,再掉10个点就抄底！！！
289,000001_2012-11-14_36,0,0,0.9736,希腊也没跌这样呀----
290,000001_2012-11-14_40,0,0,0.99135, 徐小明：探寻股市下跌的真正原因
291,000001_2012-11-14_41,0,0,0.98092,探寻股市下跌的真正原因
292,000001_2012-11-14_43,0,0,0.99702,业绩好，股价创新低，分红好，不投机想投资就选
293,000001_2012-11-14_45,0,0,0.01444,我看好.银行股.上市公司.有诚信了.分红好.大盘
294,000001_2012-11-14_47,0,0,0.98092,探寻股市下跌的真正原因
295,000001_2012-11-14_48,0,0,0.04631,国内资金不好忽悠，拿国外资金忽悠散户，不要上
296,000001_2012-11-14_50,0,0,0.48229,▌▌▌▌崩盘啦!!暴跌开始啦立即清仓吧▌▌▌
297,000001_2012-11-14_52,0,0,0.95895,国家真想让股市涨其实太简单了 把股指期货空头
298,000001_2012-11-14_53,0,0,0.17207,散户小心皇帝的新装=== 谁还买大盘股傻呀! 远离
299,000001_2012-11-14_54,0,0,0.57149,＜做空垃圾大蓝筹＞===只买小盘股＞拭目以待!＞
300,000001_2012-11-14_55,0,0,0.97627,日本国库撑不过本月底 G20称为世界第二大风险
301,000001_2012-11-14_58,0,0,0.51488,推岀中小板创业板股指期货与融资融券
302,000001_2012-11-15_5,0,0,0.94058,救不了股市，因：从股改以及多年的圈钱融资，给
303,000001_2012-11-15_10,0,0,0.22727,跌!
304,000001_2012-11-15_15,0,0,0.32449,07年300万进股市到今天只剩下40万，跌吧我和你
305,000001_2012-11-15_17,0,0,0.99229,跌的太他妈的过瘾了，哈哈哈哈哈啊哈哈哈哈哈哈
306,000001_2012-11-15_22,0,0,0.91412,真是熊市啊。熊市的特征就是不管你买什么股，买
307,000001_2012-11-15_24,0,0,0.01968,明天将跌破13
308,000001_2012-11-15_29,0,0,0.87395,【不健康的市场！长线投资还不如买堆烂铁放十年
309,000001_2012-11-15_30,0,0,0.73983,哈哈常尾一出股市大跌！
310,000001_2012-11-15_31,0,0,0.93067,短线跌不动，所以主力刻意打压，坚决吸纳，哈哈
311,000001_2012-11-15_33,0,0,0.20936,跌了爽
312,000001_2012-11-15_38,0,0,0.7591,继续下跌到三月
313,000001_2012-11-15_40,0,0,0.96286,逢低坚决吸纳低价小盘绩优股，阿呆
314,000001_2012-11-15_43,0,0,0.00074,【废品回收】破烂破铜  破铁  破 锅  回收！
315,000001_2012-11-15_47,0,0,0.95666,年终结账将至，减持套现压力大，估值仍高，1800
316,000001_2012-11-15_53,0,0,0.89179,每次大盘反弹都是逃命的机会下降通道不做股票
